# DNS of a turbulent zero-pressure gradient boundary layer
# Reference: Schlatter et al., Phys. Fluids 21, 051702 (2009)
#  
# Integral quantities:
# Re_{\theta}   =       1000.490
# Re_{\delta^*} =       1467.762
# Re_{\tau}     =       365.4094
# H_{12}        =       1.467043
# c_f           =    0.004258940
# 
# Wall-normal profiles:
# y/\delta_{99}       y+          U+          urms+       vrms+       wrms+       uv+         prms+       pu+         pv+
    0.9401453    343.5379124  21.3105018   0.5530652   0.4599538   0.4078679  -0.0955582   0.9626929   0.0654897  -0.0159203
    0.9623618    351.6560219  21.3712172   0.4993772   0.4329274   0.3731324  -0.0785673   0.9028526   0.0379761  -0.0110371
    0.9847844    359.8494284  21.4236435   0.4477728   0.4058704   0.3397015  -0.0635605   0.8437455   0.0141700  -0.0067494
    1.0074105    368.1172334  21.4681499   0.3989805   0.3789805   0.3075520  -0.0505253   0.7859558  -0.0056812  -0.0031014
    1.0302378    376.4585303  21.5052378   0.3538358   0.3524168   0.2768240  -0.0393949   0.7297857  -0.0215566  -0.0000899
    1.0532637    384.8724043  21.5354487   0.3129697   0.3263407   0.2477446  -0.0300838   0.6755468  -0.0332754   0.0023208
    1.0764856    393.3579327  21.5594924   0.2766650   0.3009506   0.2206644  -0.0224831   0.6237153  -0.0410032   0.0041734
    1.0999012    401.9141850  21.5781749   0.2449009   0.2764876   0.1959514  -0.0164670   0.5750001  -0.0451857   0.0055052
    1.1235077    410.5402230  21.5923978   0.2175727   0.2532184   0.1736402  -0.0118384   0.5300588  -0.0464810   0.0063874
    1.1473026    419.2351006  21.6029972   0.1941425   0.2313891   0.1536663  -0.0083581   0.4893176  -0.0456312   0.0068577
    1.1712832    427.9978645  21.6107585   0.1740207   0.2111577   0.1359246  -0.0058001   0.4528666  -0.0433912   0.0070248
    1.1954471    436.8275535  21.6163740   0.1568709   0.1925966   0.1203018  -0.0039339   0.4204907  -0.0403253   0.0069516
    1.2197914    445.7231996  21.6203887   0.1422771   0.1756966   0.1067743  -0.0026011   0.3918319  -0.0368416   0.0067176
    1.2443136    454.6838271  21.6232187   0.1298281   0.1604040   0.0951006  -0.0016911   0.3665247  -0.0332331   0.0063604
    1.2690109    463.7084535  21.6252086   0.1191138   0.1466598   0.0851019  -0.0010986   0.3442806  -0.0297118   0.0059407
    1.2938806    472.7960891  21.6266215   0.1097107   0.1343963   0.0765769  -0.0007240   0.3248145  -0.0264033   0.0054844
    1.3189201    481.9457372  21.6276540   0.1013581   0.1235112   0.0692363  -0.0004840   0.3077436  -0.0233998   0.0050295
    1.3441265    491.1563947  21.6284439   0.0939076   0.1138394   0.0629442  -0.0003310   0.2926389  -0.0207350   0.0045917
    1.3694971    500.4270513  21.6290883   0.0872628   0.1052171   0.0574957  -0.0002288   0.2791792  -0.0183998   0.0041881
    1.3950291    509.7566906  21.6296466   0.0813363   0.0975222   0.0527254  -0.0001592   0.2671259  -0.0163585   0.0038112
    1.4207197    519.1442893  21.6301498   0.0760053   0.0906485   0.0485563  -0.0001140   0.2563216  -0.0145782   0.0034653
    1.4465662    528.5888180  21.6306176   0.0711642   0.0844979   0.0448961  -0.0000860   0.2465576  -0.0130253   0.0031444
    1.4725656    538.0892411  21.6310663   0.0667673   0.0789806   0.0416633  -0.0000674   0.2377048  -0.0116744   0.0028542
    1.4987151    547.6445166  21.6315046   0.0627660   0.0740129   0.0387964  -0.0000541   0.2296180  -0.0104933   0.0025875
    1.5250118    557.2535968  21.6319369   0.0591039   0.0695196   0.0362319  -0.0000444   0.2222303  -0.0094585   0.0023502
    1.5514529    566.9154279  21.6323644   0.0557522   0.0654374   0.0339226  -0.0000376   0.2154341  -0.0085477   0.0021345
    1.5780355    576.6289504  21.6327891   0.0526760   0.0617126   0.0318249  -0.0000328   0.2091872  -0.0077453   0.0019436
    1.6047566    586.3930990  21.6332114   0.0498435   0.0583005   0.0299137  -0.0000293   0.2034066  -0.0070341   0.0017701
    1.6316134    596.2068031  21.6336326   0.0472285   0.0551625   0.0281578  -0.0000264   0.1980704  -0.0064031   0.0016169
    1.6586028    606.0689865  21.6340524   0.0448091   0.0522655   0.0265447  -0.0000240   0.1931120  -0.0058401   0.0014777
    1.6857219    615.9785676  21.6344711   0.0425634   0.0495818   0.0250517  -0.0000217   0.1885223  -0.0053375   0.0013548
    1.7129678    625.9344597  21.6348884   0.0404762   0.0470889   0.0236738  -0.0000199   0.1842454  -0.0048865   0.0012427
    1.7403374    635.9355711  21.6353045   0.0385301   0.0447682   0.0223949  -0.0000183   0.1802796  -0.0044818   0.0011434
    1.7678277    645.9808051  21.6357190   0.0367153   0.0426048   0.0212100  -0.0000169   0.1765765  -0.0041171   0.0010522
    1.7954358    656.0690600  21.6361322   0.0350167   0.0405863   0.0201007  -0.0000155   0.1731390  -0.0037886   0.0009710
    1.8231586    666.1992296  21.6365437   0.0334278   0.0387013   0.0190670  -0.0000143   0.1699236  -0.0034914   0.0008961
    1.8509931    676.3702030  21.6369535   0.0319371   0.0369379   0.0180987  -0.0000131   0.1669351  -0.0032225   0.0008293
    1.8789362    686.5808648  21.6373614   0.0305403   0.0352861   0.0171964  -0.0000121   0.1641344  -0.0029782   0.0007675
    1.9069848    696.8300954  21.6377674   0.0292262   0.0337366   0.0163484  -0.0000112   0.1615286  -0.0027566   0.0007123
    1.9351359    707.1167707  21.6381714   0.0279922   0.0322815   0.0155560  -0.0000104   0.1590825  -0.0025546   0.0006609
    1.9633864    717.4397627  21.6385732   0.0268284   0.0309135   0.0148092  -0.0000096   0.1568044  -0.0023707   0.0006150
    1.9917331    727.7979394  21.6389729   0.0257337   0.0296263   0.0141100  -0.0000090   0.1546623  -0.0022025   0.0005722
    2.0201731    738.1901649  21.6393703   0.0246989   0.0284138   0.0134494  -0.0000083   0.1526656  -0.0020490   0.0005338
    2.0487031    748.6152996  21.6397654   0.0237241   0.0272708   0.0128300  -0.0000078   0.1507849  -0.0019083   0.0004979
    2.0773201    759.0722003  21.6401580   0.0228007   0.0261925   0.0122435  -0.0000073   0.1490304  -0.0017794   0.0004656
    2.1060208    769.5597201  21.6405483   0.0219296   0.0251744   0.0116930  -0.0000069   0.1473751  -0.0016609   0.0004354
    2.1348022    780.0767091  21.6409359   0.0211028   0.0242123   0.0111707  -0.0000064   0.1458296  -0.0015521   0.0004081
    2.1636611    790.6220139  21.6413211   0.0203219   0.0233027   0.0106800  -0.0000061   0.1443690  -0.0014519   0.0003824
    2.1925943    801.1944782  21.6417034   0.0195793   0.0224419   0.0102135  -0.0000057   0.1430041  -0.0013596   0.0003593
    2.2215986    811.7929425  21.6420832   0.0188771   0.0216269   0.0097750  -0.0000054   0.1417120  -0.0012744   0.0003375
    2.2506710    822.4162446  21.6424601   0.0182081   0.0208548   0.0093574  -0.0000051   0.1405036  -0.0011957   0.0003178
    2.2798081    833.0632196  21.6428344   0.0175749   0.0201228   0.0089646  -0.0000048   0.1393577  -0.0011229   0.0002991
    2.3090068    843.7326998  21.6432057   0.0169705   0.0194285   0.0085900  -0.0000046   0.1382851  -0.0010556   0.0002822
    2.3382639    854.4235152  21.6435743   0.0163979   0.0187695   0.0082375  -0.0000044   0.1372663  -0.0009931   0.0002662
    2.3675762    865.1344936  21.6439398   0.0158503   0.0181437   0.0079009  -0.0000041   0.1363120  -0.0009352   0.0002517
    2.3969404    875.8644602  21.6443026   0.0153311   0.0175491   0.0075841  -0.0000040   0.1354039  -0.0008813   0.0002378
    2.4263534    886.6122385  21.6446621   0.0148337   0.0169838   0.0072812  -0.0000038   0.1345526  -0.0008312   0.0002253
    2.4558119    897.3766498  21.6450190   0.0143617   0.0164462   0.0069960  -0.0000036   0.1337412  -0.0007846   0.0002133
    2.4853127    908.1565136  21.6453725   0.0139088   0.0159346   0.0067230  -0.0000035   0.1329801  -0.0007412   0.0002025
    2.5148525    918.9506479  21.6457234   0.0134786   0.0154474   0.0064661  -0.0000033   0.1322533  -0.0007007   0.0001921
    2.5444282    929.7578690  21.6460708   0.0130650   0.0149835   0.0062198  -0.0000032   0.1315710  -0.0006629   0.0001826
    2.5740364    940.5769917  21.6464155   0.0126719   0.0145413   0.0059881  -0.0000031   0.1309185  -0.0006276   0.0001735
    2.6036739    951.4068295  21.6467568   0.0122934   0.0141198   0.0057657  -0.0000030   0.1303055  -0.0005946   0.0001653
    2.6333376    962.2461950  21.6470954   0.0119334   0.0137177   0.0055566  -0.0000029   0.1297183  -0.0005636   0.0001573
    2.6630240    973.0938993  21.6474304   0.0115861   0.0133341   0.0053557  -0.0000028   0.1291663  -0.0005347   0.0001501
    2.6927300    983.9487529  21.6477628   0.0112556   0.0129679   0.0051668  -0.0000027   0.1286367  -0.0005075   0.0001431
    2.7224523    994.8095656  21.6480916   0.0109362   0.0126182   0.0049851  -0.0000026   0.1281385  -0.0004820   0.0001367
    2.7521877   1005.6751461  21.6484177   0.0106320   0.0122840   0.0048145  -0.0000025   0.1276599  -0.0004580   0.0001306
    2.7819328   1016.5443032  21.6487403   0.0103376   0.0119647   0.0046502  -0.0000024   0.1272093  -0.0004355   0.0001249
    2.8116845   1027.4158447  21.6490602   0.0100571   0.0116593   0.0044960  -0.0000024   0.1267757  -0.0004143   0.0001195
